0,"1199/213","70/213","2693/142","14753/426","1079/426","11705/213","2503/213","23/6","341/426","82/213","1103/213","76/213","57/142","8/71","17/142","74/213","66/71","3/71","83/426",0,0,0,"7/426",0,0,0,0,"1/142","1/426",0,0,0,"1301/213","25/426","7307/426","6063/71","125/426","617/142","11/426","8/71",0,0,0,0,0,0,"1/426",0,0,0,0,"5/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22/213",0,"1/426","1/213",0,0,0
"1199/213",0,0,"19/213","3529/426","70/71","1333/142","46/213","170/213","61/426","31/426","2/71","1/71","5/426",0,"3/142","14/213","61/426","3/142","11/213",0,0,0,"4/213",0,0,0,0,0,0,0,0,0,"70/213","1/426","7/213","193/426","1/213","1/426","2/213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70/213",0,0,"60/71","7/213","5/426","41/213","17/71","1/426","1/142",0,"1/71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23/426","21/142",0,"1/142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2693/142","19/213","60/71",0,"201/71","12/71","5015/213","465/71","22/71","20/213","15/142","841/426","271/426","307/426","47/213","2/213","2/213","29/426","1/426","17/142",0,0,0,0,0,0,0,0,"1/426",0,"1/426",0,0,"83/213","11/426","5761/426","5113/213","4/71","905/426","11/142","1/426",0,0,0,0,0,0,0,0,0,0,0,"2/213",0,0,"1/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/426","7/426",0,0,"1/142",0,0,"1/71"
"14753/426","3529/426","7/213","201/71",0,"2205/142","33607/426","4267/426","133/71","557/426","8/213","1021/142","283/142","9/142","7/213","18/71","169/142","110/213","37/142","35/142",0,"1/71","2/71","61/213","2/213","1/213",0,0,0,0,"1/426",0,0,"134/71","5/426","629/213","2281/426","29/426","21/142","11/142",0,0,0,0,0,"1/213","1/213","1/142",0,0,0,0,"2/213","1/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/426",0,"6/71","1/426",0,0,0,0,0
"1079/426","70/71","5/426","12/71","2205/142",0,"6452/213","4607/213","3529/426","2227/213","50/213","757/426","1538/213","145/426","34/213","1187/426","1363/213","835/426","371/213","260/213",0,"7/213","7/71","107/142","47/426","3/142",0,0,"5/426",0,"4/71","1/426","3/142","4501/426","43/142","2948/213","2311/71","259/71","7/213","56/71","11/142",0,0,0,0,0,0,"1/426",0,"1/213",0,0,0,"1/71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2/213","6/71",0,0,0,0,0,0
"11705/213","1333/142","41/213","5015/213","33607/426","6452/213",0,"7962/71","20615/426","503/71","865/213","6277/426","778/71","731/426","16/213","449/426","460/213","2765/426","331/426","604/213","1/213","7/142","11/213","38/213",0,"1/213",0,0,"4/213",0,"1/426",0,"1/426","3544/213","9/71","7297/213","21709/213","313/426","185/426","13/213","1/213",0,0,0,0,0,"1/426","1/426",0,"5/426",0,0,"3/142","17/426",0,0,0,0,0,0,"1/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/213","14/71",0,0,"1/213","1/426",0,0
"2503/213","46/213","17/71","465/71","4267/426","4607/213","7962/71",0,"5735/71","9335/142","14140/213","565/71","7235/426","9395/426","257/426","1347/142","275/213","2381/142","85/426","374/71",0,0,0,"1/142",0,0,0,0,"1/426",0,"1/426",0,0,"2579/426","110/213","14707/426","7787/213","484/213","37/426","31/213","5/426",0,0,0,0,0,0,0,0,0,0,0,"1/142","1/213",0,"1/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/426","1/426","7/213",0,0,0,0,0,0
"23/6","170/213","1/426","22/71","133/71","3529/426","20615/426","5735/71",0,"4886/71","1379/213","63/71","4175/426","1241/213","11/142","1771/213","1221/142","4108/213","393/142","406/71","5/426","5/142","95/426","73/213","31/426","1/426",0,0,"1/426",0,"1/142","2/213",0,"4889/213","224/213","7181/213","32315/426","1228/213",0,"193/426","32/213",0,0,0,0,0,0,0,0,"1/426",0,0,0,"7/213","1/213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17/426",0,0,0,0,0,0
"341/426","61/426","1/142","20/213","557/426","2227/213","503/71","9335/142","4886/71",0,"17084/213","37/142","159/142","1480/71","89/213","33961/426","11867/142","20009/426","1228/213","1747/142","11/213","61/426","69/142","331/213","77/213","13/426",0,0,"11/426","1/213","11/71","23/213","3/71","19133/426","1978/71","15683/426","95981/426","8156/213","1/426","964/213","77/213","1/426",0,0,0,0,0,0,0,"1/426",0,"1/71",0,"1/213","1/142","2/213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/71","4/213","1/426",0,0,0,0,"1/426"
"82/213","31/426",0,"15/142","8/213","50/213","865/213","14140/213","1379/213","17084/213",0,"30/71","137/213","178/213","26/213","3506/213","575/71","10661/426","247/426","1961/426","1/426",0,0,"1/426",0,0,0,0,0,0,"10/213","13/426","2/213","125/142","415/426","421/426","593/142","181/213",0,"34/213",0,0,0,0,0,0,0,0,0,0,"1/213","1/426",0,0,0,0,0,0,0,0,"1/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/426",0,0,0,0,0,0,0
"1103/213","2/71","1/71","841/426","1021/142","757/426","6277/426","565/71","63/71","37/142","30/71",0,"2381/426","1867/426","386/213","16/213","5/426","62/213","5/426","79/142",0,0,0,0,0,0,0,0,0,0,"1/426",0,0,"637/426","37/213","3022/71","13699/426","47/142","549/142","233/426",0,"7/426",0,0,"1/142","1/213",0,"19/426","1/71",0,"1/426",0,"26/213","139/426","32/213","1/213",0,0,0,0,"1/426",0,0,0,0,0,0,0,0,0,0,0,0,0,"17/426","1/71","701/213","8/71","1/213","77/426",0,0,0
"76/213","1/71",0,"271/426","283/142","1538/213","778/71","7235/426","4175/426","159/142","137/213","2381/426",0,"4435/213","2821/426","16/213","9/142","74/213","22/213","449/213",0,"1/426",0,"3/71",0,"11/213",0,0,0,0,0,0,0,"107/71","125/426","18223/426","3463/426","83/426","371/426","407/426",0,0,0,0,"1/426","5/426","11/426","7/213","2/71","5/213",0,0,"37/142","26/213","5/71","5/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/213","7/213","1459/426","5/213","1/426",0,0,0,"1/142"
"57/142","5/426",0,"307/426","9/142","145/426","731/426","9395/426","1241/213","1480/71","178/213","1867/426","4435/213",0,"406/71","3769/426","4259/213","3865/426","241/426","593/142","1/213",0,0,"5/213",0,"2/71",0,0,0,0,"43/426","5/142","5/213","505/213","903/71","7031/213","4301/213","400/71","233/142","509/213","13/213",0,0,0,0,0,0,0,"1/213","1/426","1/213",0,"5/213","7/142","18/71","11/426","5/426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"122/71","217/213",0,0,"64/213","1/213",0,"7/213"
"8/71",0,0,"47/213","7/213","34/213","16/213","257/426","11/142","89/213","26/213","386/213","2821/426","406/71",0,"377/426","1166/213","2339/213","131/71","1867/142","5/426","10/213","1/6","74/71","5/142","211/426",0,0,"7/426","4/213","137/426","13/213","5/71","4/3","1294/213",9,"277/142","109/426","11/213","891/71","1/142",0,0,0,0,0,"1/426","11/426","23/426",0,0,0,0,"1/142","25/426","155/426",0,"4/213","1/426",0,"5/213",0,0,0,"1/213",0,"1/426",0,0,0,0,0,"1/426",0,"7/213","905/426","33/71","5/426","1/213","1/426","173/426",0,"17/426"
"17/142","3/142",0,"2/213","18/71","1187/426","449/426","1347/142","1771/213","33961/426","3506/213","16/213","16/213","3769/426","377/426",0,"14662/213","3176/213","1571/426","2033/426","1/213","5/142","25/213","62/71","55/426","17/426",0,0,"3/142","1/71","27/142","11/71","5/71","4937/426","550/71","556/71","7489/142","1193/142",0,"587/213","43/426",0,0,0,0,0,0,0,0,0,0,"1/426",0,"1/426","1/213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4/213","1/426",0,0,0,0,0,0
"74/213","14/213",0,"2/213","169/142","1363/213","460/213","275/213","1221/142","11867/142","575/71","5/426","9/142","4259/213","1166/213","14662/213",0,"29959/426","3283/71","6161/426","1/142","21/71","33/71","265/71","199/213","127/213","1/426",0,"23/71","40/213","384/71","1147/426","167/213","2925/142","641/71","3142/213","4781/142","1087/213",0,"3653/213","27/71",0,0,0,0,0,0,0,0,0,0,0,0,0,"1/213","14/213",0,"2/213","1/142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1/142","22/71","13/213",0,0,0,"4/71",0,"13/213"
